name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
GULF,2022-05-11,46.25,46.25,46.75,46.00,46.25,14092959,653343.15,1.00,60.00,32.50,0.00,0.00%
GUNKUL,2022-05-11,5.15,5.20,5.20,5.00,5.10,41898604,213100.23,0.25,6.65,3.62,-0.05,-0.97%
GVREIT,2022-05-11,9.70,9.70,9.70,9.65,9.70,15800,152.82,9.88,12.60,6.80,0.00,0.00%
HANA,2022-05-11,44.75,44.75,46.00,44.50,45.75,13135580,596992.33,1.00,58.00,31.50,+1.00,+2.23%
HFT,2022-05-11,6.90,7.00,7.00,6.65,6.65,1100542,7424.70,1.00,8.95,4.84,-0.25,-3.62%
HMPRO,2022-05-11,14.80,14.70,14.90,14.50,14.70,23368094,342666.54,1.00,19.20,10.40,-0.10,-0.68%
HREIT,2022-05-11,8.40,8.45,8.45,8.35,8.40,1065800,8938.03,8.86,10.90,5.90,0.00,0.00%
HTC,2022-05-11,30.00,30.00,30.25,29.75,29.75,105258,3153.92,1.00,39.00,21.00,-0.25,-0.83%
ICHI,2022-05-11,10.50,10.50,10.60,10.30,10.30,7208447,74882.89,1.00,13.60,7.35,-0.20,-1.90%
ILM,2022-05-11,19.80,19.90,19.90,18.60,18.80,1619895,30768.00,5.00,25.50,13.90,-1.00,-5.05%
IMH,2022-05-11,16.90,17.00,17.00,16.60,16.70,311402,5211.91,0.50,21.90,11.90,-0.20,-1.18%
IMPACT,2022-05-11,16.90,16.90,16.90,16.70,16.80,18101,303.16,10.60,21.90,11.90,-0.10,-0.59%
INGRS,2022-05-11,0.61,0.61,0.61,0.59,0.60,990000,593.22,1.00,0.79,0.43,-0.01,-1.64%
INOX,2022-05-11,1.17,1.17,1.17,1.13,1.15,5911116,6793.63,1.00,1.52,0.82,-0.02,-1.71%
INTUCH,2022-05-11,72.00,72.50,72.50,71.25,71.50,3445669,247005.90,1.00,93.50,50.50,-0.50,-0.69%
IP,2022-05-11,19.10,19.20,19.20,18.80,18.90,316900,5998.59,0.50,24.80,13.40,-0.20,-1.05%
IRPC,2022-05-11,3.38,3.38,3.40,3.20,3.22,261946036,855374.55,1.00,4.38,2.38,-0.16,-4.73%
