name,date,pe,yield,eps,div,pbv,dividend,market_cap,shares,max_price,min_price,NVDR
BEAUTY,2022-06-10,0,N/,0.00,0.00,5.56,N/A,4281.70,2994193535,1.92,1.31,343300
BEC,2022-06-10,39.67,1.58,0.09,0.25,4.97,N/A,31600.00,2000000000,17.90,10.70,95300
BEM,2022-06-10,132.16,0.89,0.02,0.08,3.60,N/A,137565.00,15285000000,9.25,7.55,1577400
BFIT,2022-06-10,23.47,2.76,0.17,0.82,1.67,N/A,16399.61,551247241,45.75,24.50,-45200
BGC,2022-06-10,13.07,4.57,0.31,0.125,1.62,N/A,7291.66,694444000,13.10,9.75,4500
BGRIM,2022-06-10,53.67,1.21,-0.03,0.27,2.96,N/A,90589.78,2606900000,46.50,29.75,1656300
BH,2022-06-10,75.29,1.83,0.91,2.05,7.74,N/A,139105.00,794885742,180.00,116.50,394000
BJC,2022-06-10,36.21,1.91,0.31,0.51,1.18,N/A,138268.99,4007796699,37.50,29.25,1363000
BKI,2022-06-10,0,5.49,-33.63,3.50,0.94,N/A,29066.31,106470000,293.00,263.00,-1500
BLA,2022-06-10,23.14,1.37,0.47,0.56,1.49,N/A,69583.31,1707566000,48.00,24.70,1899100
BLAND,2022-06-10,31.58,2.88,0.03,0.03,0.40,N/A,18069.38,17374401054,1.19,0.94,1227100
BPP,2022-06-10,9.49,4.17,0.96,0.35,0.98,N/A,47544.61,3047731700,20.10,15.30,-113300
BTS,2022-06-10,29.26,3.65,0.29,0.16,1.80,N/A,111924.69,13167610605,10.20,8.30,-3145900
BTSGIF,2022-06-10,0,N/,0.00,N/A,0.62,N/A,24541.12,5788000000,5.10,3.76,N/A
CBG,2022-06-10,37.66,1.78,0.66,1.00,9.86,N/A,107000.00,1000000000,156.00,96.75,32500
CENTEL,2022-06-10,0,N/,-0.03,0.00,3.20,N/A,57712.50,1350000000,46.50,26.75,339100
CHG,2022-06-10,7.75,5.35,0.12,0.17,4.61,N/A,41140.00,11000000000,4.44,3.08,-98000
CK,2022-06-10,41.68,1.21,0.07,0.25,1.33,N/A,34894.28,1693896872,23.70,17.40,261100
CKP,2022-06-10,21.65,1.43,0.00,0.08,1.82,N/A,45524.54,8129382729,6.30,4.70,1615100
COM7,2022-06-10,28.44,1.48,0.33,1.00,13.34,1:1,80999.94,2399998265,43.75,30.50,4061700
COTTO,2022-06-10,21.37,2.16,0.04,0.047,1.42,N/A,12998.51,5962621233,3.18,1.97,-29900
CPALL,2022-06-10,41.22,0.94,0.36,0.60,5.32,N/A,570426.94,8983101348,69.00,56.50,674400
CPF,2022-06-10,24.73,2.48,0.34,0.25,1.01,N/A,226045.11,8611242385,27.75,22.70,3245700
CPN,2022-06-10,48.73,0.98,0.52,0.60,3.65,N/A,276012.00,4488000000,64.50,45.25,-624900
CPNCG,2022-06-10,0,8.19,0.00,0.225,1.04,N/A,4991.68,426639000,12.80,10.80,N/A
CPNREIT,2022-06-10,0,0.29,0.00,0.1814,1.44,N/A,48535.84,2568034000,23.90,18.20,N/A
CPTGF,2022-06-10,0,6.76,0.00,0.19,0.80,N/A,8026.10,967000000,9.40,8.00,N/A
CRC,2022-06-10,253.66,0.83,0.20,0.30,3.77,N/A,218623.75,6031000000,41.75,29.75,3731400
DCC,2022-06-10,14.78,6.56,0.06,0.055,4.35,N/A,25734.22,9125611266,3.40,2.70,-911900
DCON,2022-06-10,20.76,2.39,0.01,0.011,0.98,N/A,2477.72,5386340396,0.70,0.42,516500
DELTA,2022-06-10,51.20,0.54,2.23,1.70,9.00,N/A,395419.97,1247381614,790.00,313.00,122000
DIF,2022-06-10,0,7.73,0.00,0.26,0.81,N/A,143527.33,10631653745,14.50,12.20,N/A
DOHOME,2022-06-10,31.00,0.10,0.16,0.0222222223,4.74,5:1,53771.92,2906590337,25.62,17.58,-138100
