name,market,price,max_price,min_price,pe,pbv,paid_up,market_cap,daily_volume,beta,ticker_id,created_at,updated_at
COM7,SET50 / SETTHSI / SETWB,37.5,43.75,30.5,31.6,14.82,999.99,89999.93,272602.28,0.33,118,2022-05-27,2022-05-27
COTTO,SET,2.16,3.18,1.97,21.18,1.4,999.99,12879.26,4384.6,0.04,681,2022-05-27,2022-05-27
CPALL,SET50 / SETTHSI / SETWB,65.0,69.0,56.5,42.19,5.44,999.99,583901.59,1227518.25,0.36,120,2022-05-27,2022-05-27
CPF,SET50 / SETCLMV / SETHD / SETTHSI / SETWB,26.0,27.75,22.7,24.49,1.0,999.99,223892.3,1160712.93,0.34,121,2022-05-27,2022-05-27
CPN,SET50 / SETTHSI,60.75,63.75,45.25,48.14,3.6,999.99,272646.0,266512.42,0.52,125,2022-05-27,2022-05-27
CPNCG,SET,11.6,12.8,10.6,0.0,1.03,999.99,4949.01,2961.24,0.0,126,2022-05-27,2022-05-27
CPNREIT,SET,19.0,23.9,18.2,0.0,1.45,999.99,48792.65,19899.96,0.0,127,2022-05-27,2022-05-27
CPTGF,SET,8.4,9.4,8.0,0.0,0.81,999.99,8122.8,3233.08,0.0,659,2022-05-27,2022-05-27
CRC,SET50 / SETCLMV / SETTHSI / SETWB,37.0,41.75,29.75,258.91,3.85,999.99,223147.0,281712.16,0.2,677,2022-05-27,2022-05-27
DCC,SET,2.82,3.4,2.7,14.78,4.35,999.99,25734.22,29190.41,0.06,140,2022-05-27,2022-05-27
DCON,SET,0.44,0.7,0.42,19.85,0.94,999.99,2369.99,379.87,0.01,141,2022-05-27,2022-05-27
DELTA,SET,329.0,790.0,313.0,53.14,9.34,999.99,410388.55,493039.32,2.23,144,2022-05-27,2022-05-27
DIF,SET,14.0,14.5,12.1,0.0,0.84,999.99,148843.15,85947.09,0.0,146,2022-05-27,2022-05-27
DOHOME,SET100 / SETWB,18.4,25.62,17.58,30.83,4.71,999.99,53481.26,158015.32,0.16,670,2022-05-27,2022-05-27
DRT,sSET / SETCLMV / SETTHSI,7.4,9.2,7.05,10.88,2.71,999.99,6327.24,844.44,0.22,149,2022-05-27,2022-05-27
DTAC,SET50,42.75,51.5,28.75,31.05,5.5,999.99,101223.92,274204.18,0.31,150,2022-05-27,2022-05-27
EA,SET50 / SETTHSI,88.75,105.5,57.0,54.68,9.8,999.99,331037.5,1578282.81,0.37,153,2022-05-27,2022-05-27
EASTW,SETTHSI,6.4,10.5,6.0,11.29,0.92,999.99,10647.84,7881.39,0.15,155,2022-05-27,2022-05-27
ECL,SET,2.56,3.82,1.56,15.07,1.51,999.99,2838.68,91578.28,0.05,157,2022-05-27,2022-05-27
EGATIF,SET,8.95,12.5,8.55,0.0,0.95,999.99,18665.22,9551.7,0.0,160,2022-05-27,2022-05-27
EGCO,SET50 / SETCLMV / SETHD / SETTHSI,179.0,187.0,160.0,12.34,0.79,999.99,94237.24,150425.99,7.82,161,2022-05-27,2022-05-27
EPG,SET100 / SETTHSI,10.3,13.7,8.6,17.32,2.51,999.99,28840.0,78999.0,0.45,166,2022-05-27,2022-05-27
ESSO,SET100,9.95,10.1,7.0,4.56,1.37,999.99,34435.54,411603.39,1.7,169,2022-05-27,2022-05-27
FORTH,SET,45.5,53.0,8.9,54.91,21.94,999.99,43680.0,162366.08,0.25,181,2022-05-27,2022-05-27
FSMART,mai,20.5,28.0,7.7,41.77,12.78,999.99,15990.0,215429.88,0.11,183,2022-05-27,2022-05-27
GC,SET,5.55,6.73,4.32,13.31,3.99,999.99,2442.0,503.3,0.14,188,2022-05-27,2022-05-27
GFPT,sSET / SETTHSI,16.8,17.1,10.6,34.85,1.4,999.99,21064.19,100699.37,0.36,192,2022-05-27,2022-05-27
GGC,sSET,14.8,15.0,9.9,20.96,1.45,999.99,15150.27,11385.0,0.48,193,2022-05-27,2022-05-27
GLOBAL,SET50 / SETCLMV / SETTHSI / SETWB,20.7,23.7,17.63,28.12,4.8,999.99,99395.95,151199.01,0.25,198,2022-05-27,2022-05-27
GPSC,SET50 / SETTHSI,64.75,89.75,59.5,32.27,1.68,999.99,182577.48,511091.29,0.11,202,2022-05-27,2022-05-27
GRAMMY,SET,10.4,18.9,10.0,0.0,7.04,999.99,8527.48,113.09,-0.19,203,2022-05-27,2022-05-27
GULF,SET50 / SETCLMV / SETTHSI,47.75,52.75,32.75,59.4,5.41,999.99,560257.91,633888.77,0.29,207,2022-05-27,2022-05-27
GUNKUL,SET100 / SETCLMV / SETHD / SETTHSI,5.6,7.2,3.4,23.42,3.73,999.99,49742.17,265002.74,0.06,208,2022-05-27,2022-05-27
GVREIT,SET,9.5,11.0,9.45,0.0,0.85,999.99,7740.6,1096.3,0.0,209,2022-05-27,2022-05-27
HANA,SET100 / SETTHSI,45.25,96.25,43.0,22.63,1.57,999.99,36420.77,528503.6,0.45,211,2022-05-27,2022-05-27
HFT,sSET,7.05,9.75,6.35,10.94,1.28,999.99,4641.96,3567.82,0.15,213,2022-05-27,2022-05-27
HMPRO,SET50 / SETTHSI / SETWB,14.5,16.6,12.4,34.12,7.81,999.99,190692.37,515236.1,0.11,214,2022-05-27,2022-05-27
HREIT,SET,8.4,9.3,8.3,0.0,0.91,999.99,7057.13,1076.67,0.0,217,2022-05-27,2022-05-27
HTC,sSET / SETTHSI,29.0,40.0,28.5,11.85,1.57,999.99,5827.85,21622.84,0.52,218,2022-05-27,2022-05-27
ICHI,sSET / SETCLMV,9.55,13.3,8.65,23.46,1.98,999.99,12415.0,99957.66,0.08,223,2022-05-27,2022-05-27
ILM,sSET,18.8,25.0,12.8,20.27,1.74,999.99,9494.0,12339.98,0.32,702,2022-05-27,2022-05-27
IMH,mai,17.5,23.3,5.85,6.88,3.92,999.99,3762.5,9353.89,0.5,707,2022-05-27,2022-05-27
IMPACT,SET,16.3,20.4,14.4,0.0,1.5,999.99,24164.75,6072.16,0.0,228,2022-05-27,2022-05-27
INGRS,SET,0.67,1.3,0.57,0.0,0.71,999.99,969.45,961.12,-0.14,229,2022-05-27,2022-05-27
INOX,SET,1.3,1.85,1.0,9.37,1.0,999.99,10134.42,133925.82,0.05,643,2022-05-27,2022-05-27
INTUCH,SET50 / SETCLMV / SETHD / SETTHSI,71.5,90.75,60.0,21.55,6.01,999.99,229271.8,308846.99,0.8,231,2022-05-27,2022-05-27
IP,mai,19.9,24.17,17.8,50.9,7.49,999.99,5930.41,9473.95,0.1,713,2022-05-27,2022-05-27
IRPC,SET50 / SETCLMV / SETTHSI,3.38,4.76,3.06,6.63,0.78,999.99,69068.34,489503.76,0.07,234,2022-05-27,2022-05-27
IVL,SET50 / SETTHSI,49.25,52.0,36.0,8.05,1.56,999.99,276516.68,493723.44,2.47,238,2022-05-27,2022-05-27
JASIF,SET,10.9,11.3,9.6,0.0,0.98,999.99,87200.0,99328.63,0.0,241,2022-05-27,2022-05-27
JMART,SET100,59.5,64.0,30.5,34.22,4.72,999.99,84147.28,1019929.49,0.23,244,2022-05-27,2022-05-27
JMT,SET100,77.75,88.25,39.32,76.41,5.14,999.99,113438.2,824556.25,0.27,245,2022-05-27,2022-05-27
JWD,sSET / SETTHSI,15.9,24.4,11.6,29.14,4.29,999.99,16218.0,70832.97,0.12,250,2022-05-27,2022-05-27
