SET,UV,1075689,0,1005636,1597122,62471,1597122
SET,UVAN,344588,624700,303786,216855,329118,624700
SET,VIBHA,678644,868550,723672,809046,449800,868550
SET,VIH,153074,125276,176484,199822,186278,199822
SET,VNG,0,0,0,-1228740,-590480,-590480
SET,VNT,1123703,2248325,3059411,3635428,2172741,3635428
SET,WACOAL,310951,324672,355760,336075,-314884,355760
SET,WHART,379804,678509,1473008,1914591,2278297,2278297
SET,WHAUP,0,1980916,2251898,2137209,812727,2251898
SET,WICE,77183,89700,96193,61974,201084,201084
SET,WIIK,133755,90261,12302,21567,109343,133755
SET,WORK,198631,904089,345305,159500,159114,904089
SET,WP,0,0,321482,290494,170054,321482
SET,ZEN,0,0,140215,106223,-63655,140215
All,,21404034,23209271,24812637,32748508,23039785,32748508
